call_count, inputs, weights, outputs, nb_iterations, d_cache_accesses, d_cache_misses, d_load, d_store, instret, cycles
3126, 0x8002fea8, 0x8000eb74, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3127, 0x8002fec0, 0x8000eb78, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3128, 0x8002fe78, 0x8000eb7c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3129, 0x8002fe90, 0x8000eb80, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3130, 0x8002fea8, 0x8000eb84, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3131, 0x8002fec0, 0x8000eb88, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3132, 0x8002fe78, 0x8000eb8c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3133, 0x8002fe90, 0x8000eb90, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3134, 0x8002fea8, 0x8000eb94, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3135, 0x8002fec0, 0x8000eb98, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3136, 0x8002fe7a, 0x8000ea9c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3137, 0x8002fe92, 0x8000eaa0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3138, 0x8002feaa, 0x8000eaa4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3139, 0x8002fec2, 0x8000eaa8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3140, 0x8002fe7a, 0x8000eaac, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3141, 0x8002fe92, 0x8000eab0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3142, 0x8002feaa, 0x8000eab4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3143, 0x8002fec2, 0x8000eab8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3144, 0x8002fe7a, 0x8000eabc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3145, 0x8002fe92, 0x8000eac0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3146, 0x8002feaa, 0x8000eac4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3147, 0x8002fec2, 0x8000eac8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3148, 0x8002fe7a, 0x8000eacc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3149, 0x8002fe92, 0x8000ead0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3150, 0x8002feaa, 0x8000ead4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3151, 0x8002fec2, 0x8000ead8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3152, 0x8002fe7a, 0x8000eadc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3153, 0x8002fe92, 0x8000eae0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3154, 0x8002feaa, 0x8000eae4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3155, 0x8002fec2, 0x8000eae8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3156, 0x8002fe7a, 0x8000eaec, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3157, 0x8002fe92, 0x8000eaf0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3158, 0x8002feaa, 0x8000eaf4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3159, 0x8002fec2, 0x8000eaf8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3160, 0x8002fe7a, 0x8000eafc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3161, 0x8002fe92, 0x8000eb00, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3162, 0x8002feaa, 0x8000eb04, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3163, 0x8002fec2, 0x8000eb08, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3164, 0x8002fe7a, 0x8000eb0c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3165, 0x8002fe92, 0x8000eb10, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3166, 0x8002feaa, 0x8000eb14, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3167, 0x8002fec2, 0x8000eb18, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3168, 0x8002fe7a, 0x8000eb1c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3169, 0x8002fe92, 0x8000eb20, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3170, 0x8002feaa, 0x8000eb24, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3171, 0x8002fec2, 0x8000eb28, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3172, 0x8002fe7a, 0x8000eb2c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3173, 0x8002fe92, 0x8000eb30, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3174, 0x8002feaa, 0x8000eb34, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3175, 0x8002fec2, 0x8000eb38, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3176, 0x8002fe7a, 0x8000eb3c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3177, 0x8002fe92, 0x8000eb40, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3178, 0x8002feaa, 0x8000eb44, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3179, 0x8002fec2, 0x8000eb48, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3180, 0x8002fe7a, 0x8000eb4c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3181, 0x8002fe92, 0x8000eb50, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3182, 0x8002feaa, 0x8000eb54, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3183, 0x8002fec2, 0x8000eb58, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3184, 0x8002fe7a, 0x8000eb5c, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3185, 0x8002fe92, 0x8000eb60, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3186, 0x8002feaa, 0x8000eb64, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3187, 0x8002fec2, 0x8000eb68, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3188, 0x8002fe7a, 0x8000eb6c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3189, 0x8002fe92, 0x8000eb70, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3190, 0x8002feaa, 0x8000eb74, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3191, 0x8002fec2, 0x8000eb78, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3192, 0x8002fe7a, 0x8000eb7c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3193, 0x8002fe92, 0x8000eb80, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3194, 0x8002feaa, 0x8000eb84, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3195, 0x8002fec2, 0x8000eb88, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3196, 0x8002fe7a, 0x8000eb8c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3197, 0x8002fe92, 0x8000eb90, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3198, 0x8002feaa, 0x8000eb94, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3199, 0x8002fec2, 0x8000eb98, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3200, 0x8002fe7c, 0x8000ea9c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3201, 0x8002fe94, 0x8000eaa0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3202, 0x8002feac, 0x8000eaa4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3203, 0x8002fec4, 0x8000eaa8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3204, 0x8002fe7c, 0x8000eaac, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3205, 0x8002fe94, 0x8000eab0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3206, 0x8002feac, 0x8000eab4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3207, 0x8002fec4, 0x8000eab8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3208, 0x8002fe7c, 0x8000eabc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3209, 0x8002fe94, 0x8000eac0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3210, 0x8002feac, 0x8000eac4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3211, 0x8002fec4, 0x8000eac8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3212, 0x8002fe7c, 0x8000eacc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3213, 0x8002fe94, 0x8000ead0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3214, 0x8002feac, 0x8000ead4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3215, 0x8002fec4, 0x8000ead8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3216, 0x8002fe7c, 0x8000eadc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3217, 0x8002fe94, 0x8000eae0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3218, 0x8002feac, 0x8000eae4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3219, 0x8002fec4, 0x8000eae8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3220, 0x8002fe7c, 0x8000eaec, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3221, 0x8002fe94, 0x8000eaf0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3222, 0x8002feac, 0x8000eaf4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3223, 0x8002fec4, 0x8000eaf8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3224, 0x8002fe7c, 0x8000eafc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3225, 0x8002fe94, 0x8000eb00, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3226, 0x8002feac, 0x8000eb04, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3227, 0x8002fec4, 0x8000eb08, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3228, 0x8002fe7c, 0x8000eb0c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3229, 0x8002fe94, 0x8000eb10, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3230, 0x8002feac, 0x8000eb14, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3231, 0x8002fec4, 0x8000eb18, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3232, 0x8002fe7c, 0x8000eb1c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3233, 0x8002fe94, 0x8000eb20, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3234, 0x8002feac, 0x8000eb24, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3235, 0x8002fec4, 0x8000eb28, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3236, 0x8002fe7c, 0x8000eb2c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3237, 0x8002fe94, 0x8000eb30, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3238, 0x8002feac, 0x8000eb34, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3239, 0x8002fec4, 0x8000eb38, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3240, 0x8002fe7c, 0x8000eb3c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3241, 0x8002fe94, 0x8000eb40, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3242, 0x8002feac, 0x8000eb44, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3243, 0x8002fec4, 0x8000eb48, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3244, 0x8002fe7c, 0x8000eb4c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3245, 0x8002fe94, 0x8000eb50, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3246, 0x8002feac, 0x8000eb54, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3247, 0x8002fec4, 0x8000eb58, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3248, 0x8002fe7c, 0x8000eb5c, 0x8002fd4c, 4, 23, 1, 9, 1, 36, 66 
3249, 0x8002fe94, 0x8000eb60, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3250, 0x8002feac, 0x8000eb64, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3251, 0x8002fec4, 0x8000eb68, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3252, 0x8002fe7c, 0x8000eb6c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3253, 0x8002fe94, 0x8000eb70, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
